Perturbation	Synergies	Non-synergies
[PI]-[PD]	19	397
[PI]-[CT]	0	675
[PI]-[BI]	81	475
[PI]-[PK]	0	529
[PI]-[AK]	13	561
[PI]-[5Z]	10	556
[PD]-[CT]	0	696
[PD]-[BI]	24	510
[PD]-[PK]	2	420
[PD]-[AK]	0	425
[PD]-[5Z]	0	696
[CT]-[BI]	0	789
[CT]-[PK]	0	661
[CT]-[AK]	0	702
[CT]-[5Z]	0	839
[BI]-[PK]	205	338
[BI]-[AK]	89	509
[BI]-[5Z]	14	654
[PK]-[AK]	0	541
[PK]-[5Z]	30	510
[AK]-[5Z]	35	552
